file_name,cov_value,,,,,
T2024814_9311-DCA1-1,692.035,,,,,
T2024814_9311-DCA1-2,702.04,,,,,
T2024814_9311-DCA1-3-1,502.863,,,,,
T2024814_9311-DCA1-3,476.784,,,,,
T2024814_9311-DCA1-4,931.9,,,,,
T2024814_9311-DCA1-5-1,840.918,,,,,
T2024814_9311-F1-1,1109.165,,,,,
T2024814_9311-F1-2,846.826,,,,,
T2024814_9311-F1-3,834.505,,,,,
T2024814_9311-F1-4,955.734,,,,,
T2024814_9311-F1-5,868.043,,,,,
T2024814_9311-F1-6,978.193,,,,,
T2024814_9311-xca1-1,767.364,,,,,
T2024814_9311-xca1-2,687.647,,,,,
T2024814_9311-xca1-3,863.481,,,,,
T2024814_9311-xca1-4,616.615,,,,,
T2024814_9311-xca1-5,740.456,,,,,
T2024814_9311-xca1-6,699.432,,,,,
T2024814_JP69-1,520.335,,,,,
T2024814_JP69-2,572.791,,,,,
T2024814_JP69-3,465.566,,,,,
T2024814_JP69-4,623.422,,,,,
T2024814_JP69-5,460.634,,,,,
T2024814_JP69-6,497.974,,,,,
T2024814_JY5B-1,420.292,,,,,
T2024814_JY5B-2,311.19,,,,,
T2024814_JY5B-3,375.253,,,,,
T2024814_JY5B-4,403.028,,,,,
T2024814_JY5B-5,395.409,,,,,
T2024814_JY5B-6,388.302,,,,,
T2024814_JYY69-1,828.649,,,,,
T2024814_JYY69-2,883.978,,,,,
T2024814_JYY69-3,828.14,,,,,
T2024814_JYY69-4,867.163,,,,,
T2024814_JYY69-5,753.411,,,,,
T2024814_JYY69-6,962.913,,,,,
T2024814_WYG-DCA1-3,498.174,,,,,
T2024814_WYG-DCA1-4,470.303,,,,,
T2024814_WYG-DCA1-5,528.485,,,,,
T2024814_WYG-DCA1-6,648.761,,,,,
T2024814_WYG-F1-1,907.144,,,,,
T2024814_WYG-F1-2,833.794,,,,,
T2024814_WYG-F1-3,787.243,,,,,
T2024814_WYG-F1-4,1082.904,,,,,
T2024814_WYG-F1-5,792.219,,,,,
T2024814_WYG-F1-7,1046.847,,,,,
T2024814_WYG-xca1-1,543.596,,,,,
T2024814_WYG-xca1-2,573.09,,,,,
T2024814_WYG-xca1-3,546.043,,,,,
T2024814_wyg-xca1-4,634.365,,,,,
T2024814_WYG-xca1-6,540.477,,,,,
T2024814_wyj-xca1-5,647.17,,,,,
