file_name,cov_value
T2024815_169aa-1,631.477
T2024815_169aa-2,712.737
T2024815_169aa-3,759.891
T2024815_169aa-4,807.787
T2024815_169aa-5,760.517
T2024815_169aa-6,752.61
T2024815_169aa-F1-1,947.66
T2024815_169aa-F1-2,816.886
T2024815_169aa-F1-3,955.513
T2024815_169aa-F1-4,895.283
T2024815_169aa-F1-5,895.982
T2024815_169aa-F1-6,870.302
T2024815_75aa-1,656.337
T2024815_75aa-2,495.794
T2024815_75aa-3,465.285
T2024815_75aa-4,345.568
T2024815_75aa-5,373.681
T2024815_75aa-6,520.249
T2024815_75aa-F1-1,593.449
T2024815_75aa-F1-2,411.859
T2024815_75aa-F1-3,491.371
T2024815_75aa-F1-4,423.912
T2024815_75aa-F1-5,464.286
T2024815_75aa-F1-6,404.993
T2024815_DCA1-1,629.978
T2024815_DCA1-2,510.129
T2024815_fon4DCA1-1,734.144
T2024815_fon4DCA1-2,552.272
T2024815_fon4DCA1-3,626.618
T2024815_fon4DCA1-4,653.371
T2024815_fon4DCA1-5,799.231
T2024815_fon4DCA1-6,701.764
T2024815_fon4F1-1,567.71
T2024815_fon4F1-2,765.285
T2024815_fon4F1-3,645.949
T2024815_fon4F1-4,611.673
T2024815_fon4F1-5,564.126
T2024815_fon4F1-6,605.086
T2024815_fon4xca1-1,590.68
T2024815_fon4xca1-2,487.581
T2024815_fon4xca1-3,624.794
T2024815_fon4xca1-4,524.91
T2024815_fon4xca1-5,528.767
T2024815_fon4xca1-6,477.058
