file_name,cov_value,,,,,,,
9311-dca1-1,1300.498,,,,,,,
9311-dca1-3,1298.609,,,,,,,
9311-dca1-4,1147.319,,,,,,,
9311-dca1-5,966.614,,,,,,,
9311-dca1-6,1006.692,,,,,,,
9311-dca1-7,1217.449,,,,,,,
9311-f1-1,1753.286,,,,,,,
9311-f1-10,1588.549,,,,,,,
9311-f1-2,1906.269,,,,,,,
9311-f1-4-4,1267.265,,,,,,,
9311-f1-7,1667.697,,,,,,,
9311-f1-8,1797.589,,,,,,,
9311-xca1-1,1541.435,,,,,,,
9311-xca1-2,1579.426,,,,,,,
9311-xca1-3,1148.601,,,,,,,
9311-xca1-7,1528.335,,,,,,,
9311-xca1-8,1223.803,,,,,,,
9311-xca1-9,1270.007,,,,,,,
jb69-1-1,1006.312,,,,,,,
jb69-1,1175.773,,,,,,,
jb69-2,1165.178,,,,,,,
jb69-3,1376.843,,,,,,,
jb69-5,1080.769,,,,,,,
jb69-6,1175.441,,,,,,,
jy5b-1-1,984.613,,,,,,,
jy5b-2,811.737,,,,,,,
jy5b-3,913.488,,,,,,,
jy5b-4,1021.615,,,,,,,
jy5b-5,902.886,,,,,,,
jy5b-7,1109.793,,,,,,,
