variety_group,cov_value
169_group1,775.3510000000002
169_group2,802.7030000000002
169_group3,854.4180000000002
169_group4,800.1160000000002
169_group5,747.7960000000002
169_group6,785.8370000000002
169-F1_group1,1354.4260000000004
169-F1_group2,1282.7300000000002
169-F1_group3,1356.7690000000002
169-F1_group4,1363.1370000000004
169-F1_group5,1333.3670000000004
169-F1_group6,1355.3200000000004
75_group1,808.1220000000002
75_group2,814.0980000000002
75_group3,847.4730000000002
75_group4,805.2500000000002
75_group5,955.5990000000003
75_group6,866.5650000000002
75-F1_group1,889.9840000000003
75-F1_group2,926.8340000000002
75-F1_group3,891.8490000000002
75-F1_group4,822.6940000000002
75-F1_group5,950.5700000000003
75-F1_group6,919.8710000000002
fon4_group1,644.2290000000002
fon4_group2,687.0630000000002
fon4_group3,731.2950000000002
fon4_group4,649.3330000000002
fon4_group5,799.6340000000002
fon4_group6,953.2400000000002
fon4-DA_group1,905.7640000000002
fon4-DA_group2,982.3710000000002
fon4-DA_group3,917.2450000000002
fon4-DA_group4,821.4980000000002
fon4-DA_group5,850.9730000000002
fon4-DA_group6,862.9930000000002
fon4-F1_group1,886.0390000000002
fon4-F1_group2,974.0010000000002
fon4-F1_group3,953.4100000000002
fon4-F1_group4,946.8940000000002
fon4-F1_group5,1018.7790000000002
fon4-F1_group6,1009.2310000000002
JYY69_group1,1532.4450000000004
JYY69_group2,1330.7010000000002
JYY69_group3,1421.3340000000003
JYY69_group4,1464.6010000000003
JYY69_group5,1200.6320000000003
JYY69_group6,1318.4670000000003
W-DA_group1,1105.9550000000002
W-DA_group2,969.3880000000003
W-DA_group3,979.3680000000003
W-DA_group4,1111.6610000000003
W-DA_group5,1015.3110000000003
W-DA_group6,1162.0620000000004
W-F1_group1,1332.2360000000003
W-F1_group2,1356.6020000000003
W-F1_group3,1390.3180000000004
W-F1_group4,1353.7030000000004
W-F1_group5,1339.0500000000004
W-F1_group6,1376.4320000000002
W-xca1_group1,785.6060000000002
W-xca1_group2,765.5690000000002
W-xca1_group3,836.5550000000002
W-xca1_group4,750.7950000000002
W-xca1_group5,719.3100000000002
W-xca1_group6,826.6270000000002
