plantID	tillerID	leafID	position	extraID	x1	y1	z1	x2	y2	z2	x3	y3	z3	NpArea	Kt	Kr	facetS	6h_totalPPFD	7h_totalPPFD	8h_totalPPFD	9h_totalPPFD	10h_totalPPFD	11h_totalPPFD	12h_totalPPFD	13h_totalPPFD	14h_totalPPFD	15h_totalPPFD	16h_totalPPFD	17h_totalPPFD	18h_totalPPFD	
1	2.00	1.00	0.03	0.00	2.64	1.52	46.71	2.74	1.58	48.71	2.56	1.66	46.71	0.00	0.0000	0.0000	0.1615	37.99	17.83	305.05	90.50	164.17	95.47	143.96	530.50	230.85	419.59	563.91	56.69	47.48	
1	2.00	1.00	0.05	0.00	2.56	1.66	46.71	2.74	1.58	48.71	2.53	1.96	48.71	0.00	0.0000	0.0000	0.4349	70.54	105.95	187.71	184.85	87.09	194.99	567.16	344.26	235.16	371.38	532.12	421.68	59.96	
1	2.00	1.00	0.11	0.00	2.74	1.58	48.71	2.85	1.64	50.70	2.53	1.96	48.71	0.00	0.0000	0.0000	0.4329	49.61	146.38	134.87	143.52	140.02	151.40	618.82	316.47	183.78	414.46	289.02	201.32	53.16	
1	2.00	1.00	0.13	0.00	2.53	1.96	48.71	2.85	1.64	50.70	2.52	2.21	50.70	0.00	0.0000	0.0000	0.6565	49.07	131.62	129.55	161.44	121.18	215.01	680.69	499.08	177.98	477.93	587.08	511.73	81.78	
1	2.00	1.00	0.19	0.00	2.85	1.64	50.70	2.95	1.70	52.70	2.52	2.21	50.70	0.00	0.0000	0.0000	0.6598	83.70	144.06	113.43	166.17	189.47	177.08	703.53	425.15	210.64	492.77	246.33	295.50	60.45	
1	2.00	1.00	0.21	0.00	2.52	2.21	50.70	2.95	1.70	52.70	2.58	2.35	52.70	0.00	0.0000	0.0000	0.7493	85.98	172.96	149.82	180.45	187.05	379.89	727.70	435.66	186.26	483.18	586.24	502.08	57.32	
1	2.00	1.00	0.27	0.00	2.95	1.70	52.70	3.06	1.76	54.70	2.58	2.35	52.70	0.00	0.0000	0.0000	0.7494	108.48	146.04	231.50	311.47	181.97	200.62	647.99	543.64	202.19	554.05	289.64	243.05	53.22	
1	2.00	1.00	0.29	0.00	2.58	2.35	52.70	3.06	1.76	54.70	2.68	2.41	54.70	0.00	0.0000	0.0000	0.7542	77.28	175.66	172.12	291.25	251.13	336.53	692.14	473.72	259.60	528.50	397.80	548.42	97.62	
1	2.00	1.00	0.35	0.00	3.06	1.76	54.70	3.16	1.82	56.69	2.68	2.41	54.70	0.00	0.0000	0.0000	0.7504	65.41	134.32	296.69	514.41	242.29	169.52	734.52	500.20	211.21	557.08	246.97	316.27	102.20	
1	2.00	1.00	0.37	0.00	2.68	2.41	54.70	3.16	1.82	56.69	2.79	2.46	56.69	0.00	0.0000	0.0000	0.7369	112.40	199.32	374.37	343.80	262.16	372.61	829.35	512.61	291.40	534.32	405.05	579.48	110.32	
1	2.00	1.00	0.43	0.00	3.16	1.82	56.69	3.26	1.88	58.69	2.79	2.46	56.69	0.00	0.0000	0.0000	0.7405	101.50	163.35	411.52	645.67	194.39	270.70	783.44	532.94	326.59	532.80	239.62	335.37	93.21	
1	2.00	1.00	0.45	0.00	2.79	2.46	56.69	3.26	1.88	58.69	2.90	2.51	58.69	0.00	0.0000	0.0000	0.7269	125.61	209.99	678.28	461.32	323.09	281.07	790.66	521.70	269.34	609.21	342.23	588.16	130.83	
1	2.00	1.00	0.51	0.00	3.26	1.88	58.69	3.37	1.94	60.69	2.90	2.51	58.69	0.00	0.0000	0.0000	0.7270	152.27	225.80	917.87	723.45	270.94	233.30	848.80	555.06	316.20	533.18	497.04	363.94	128.70	
1	2.00	1.00	0.53	0.00	2.90	2.51	58.69	3.37	1.94	60.69	3.02	2.55	60.69	0.00	0.0000	0.0000	0.7046	148.44	390.76	868.24	600.85	333.31	344.67	875.78	643.83	295.68	668.84	516.89	634.22	128.44	
1	2.00	1.00	0.59	0.00	3.37	1.94	60.69	3.47	2.00	62.68	3.02	2.55	60.69	0.00	0.0000	0.0000	0.7010	191.88	491.31	935.09	1109.41	428.09	379.47	993.51	706.00	366.63	651.49	798.73	399.49	155.37	
